yyyymm,price_index,sgg
200701,81.4,강남구
200702,81.2,강남구
200703,81.1,강남구
200704,80.4,강남구
200705,79.8,강남구
200706,79.7,강남구
200707,79.8,강남구
200708,79.8,강남구
200709,79.7,강남구
200710,79.6,강남구
200711,79.7,강남구
200712,79.6,강남구
200801,79.7,강남구
200802,79.7,강남구
200803,80,강남구
200804,80.3,강남구
200805,80.4,강남구
200806,80.1,강남구
200807,79.8,강남구
200808,79.6,강남구
200809,79.3,강남구
200810,78.5,강남구
200811,76.8,강남구
200812,73.8,강남구
200901,72.8,강남구
200902,73.4,강남구
200903,73.4,강남구
200904,74.1,강남구
200905,74.3,강남구
200906,75.1,강남구
200907,76.3,강남구
200908,77,강남구
200909,78.4,강남구
200910,78.6,강남구
200911,78.4,강남구
200912,78.3,강남구
201001,78.5,강남구
201002,78.8,강남구
201003,78.8,강남구
201004,78.8,강남구
201005,78.3,강남구
201006,77.8,강남구
201007,77.6,강남구
201008,77.2,강남구
201009,77,강남구
201010,77,강남구
201011,76.9,강남구
201012,77.1,강남구
201101,77.4,강남구
201102,77.8,강남구
201103,77.9,강남구
201104,77.9,강남구
201105,77.8,강남구
201106,77.7,강남구
201107,77.5,강남구
201108,77.4,강남구
201109,77.3,강남구
201110,77.1,강남구
201111,77,강남구
201112,76.8,강남구
201201,76.5,강남구
201202,76.3,강남구
201203,75.9,강남구
201204,75.3,강남구
201205,75.3,강남구
201206,75.1,강남구
201207,74.5,강남구
201208,73.8,강남구
201209,73,강남구
201210,72.8,강남구
201211,72.4,강남구
201212,72,강남구
201301,71.8,강남구
201302,71.6,강남구
201303,71.7,강남구
201304,71.7,강남구
201305,71.8,강남구
201306,71.6,강남구
201307,71.1,강남구
201308,70.9,강남구
201309,71,강남구
201310,71.1,강남구
201311,71,강남구
201312,71.1,강남구
201401,71.2,강남구
201402,71.4,강남구
201403,71.7,강남구
201404,71.7,강남구
201405,71.7,강남구
201406,71.6,강남구
201407,71.7,강남구
201408,71.9,강남구
201409,72.5,강남구
201410,72.8,강남구
201411,72.8,강남구
201412,72.7,강남구
201501,72.9,강남구
201502,73,강남구
201503,73.5,강남구
201504,73.9,강남구
201505,74.2,강남구
201506,74.9,강남구
201507,75.3,강남구
201508,76,강남구
201509,76.4,강남구
201510,76.9,강남구
201511,77.5,강남구
201512,77.7,강남구
201601,77.6,강남구
201602,77.6,강남구
201603,77.6,강남구
201604,77.8,강남구
201605,78.2,강남구
201606,78.8,강남구
201607,79.5,강남구
201608,80.1,강남구
201609,80.7,강남구
201610,81.5,강남구
201611,81.9,강남구
201612,81.8,강남구
201701,81.7,강남구
201702,81.7,강남구
201703,81.8,강남구
201704,82,강남구
201705,82.3,강남구
201706,83.2,강남구
201707,83.9,강남구
201708,84.7,강남구
201709,84.6,강남구
201710,85.1,강남구
201711,86,강남구
201712,87.1,강남구
201801,89.2,강남구
201802,91.1,강남구
201803,93.1,강남구
201804,94.3,강남구
201805,94.8,강남구
201806,95,강남구
201807,95.3,강남구
201808,96.5,강남구
201809,99.5,강남구
201810,100.2,강남구
201811,100.3,강남구
201812,100.2,강남구
201901,100,강남구
201902,99.5,강남구
201903,98.9,강남구
201904,98.5,강남구
201905,98.3,강남구
201906,98.2,강남구
201907,98.8,강남구
201908,99.3,강남구
200701,81.7,강동구
200702,81.8,강동구
200703,81.8,강동구
200704,81.1,강동구
200705,79.9,강동구
200706,79.9,강동구
200707,80,강동구
200708,79.9,강동구
200709,79.9,강동구
200710,79.8,강동구
200711,79.7,강동구
200712,79.4,강동구
200801,79.4,강동구
200802,79.3,강동구
200803,79.5,강동구
200804,79.7,강동구
200805,79.5,강동구
200806,78.6,강동구
200807,78.3,강동구
200808,78.1,강동구
200809,77.7,강동구
200810,76.6,강동구
200811,75.1,강동구
200812,72.4,강동구
200901,72.6,강동구
200902,73.2,강동구
200903,73.6,강동구
200904,75.2,강동구
200905,75.5,강동구
200906,75.9,강동구
200907,77.3,강동구
200908,78.3,강동구
200909,80,강동구
200910,80.1,강동구
200911,79.6,강동구
200912,79.6,강동구
201001,80.3,강동구
201002,80.9,강동구
201003,80.9,강동구
201004,80.6,강동구
201005,79.9,강동구
201006,79.5,강동구
201007,79.2,강동구
201008,78.7,강동구
201009,78.6,강동구
201010,78.5,강동구
201011,78.9,강동구
201012,79.2,강동구
201101,79.4,강동구
201102,79.8,강동구
201103,80.1,강동구
201104,80,강동구
201105,79.8,강동구
201106,79.4,강동구
201107,78.8,강동구
201108,78.8,강동구
201109,78.9,강동구
201110,78.8,강동구
201111,78.6,강동구
201112,78.2,강동구
201201,78.2,강동구
201202,78.2,강동구
201203,78.1,강동구
201204,77.7,강동구
201205,77.5,강동구
201206,77.3,강동구
201207,76.8,강동구
201208,76,강동구
201209,75.2,강동구
201210,75,강동구
201211,74.7,강동구
201212,74.4,강동구
201301,74,강동구
201302,74.1,강동구
201303,74.3,강동구
201304,74.4,강동구
201305,74.4,강동구
201306,74.2,강동구
201307,73.9,강동구
201308,73.8,강동구
201309,73.7,강동구
201310,73.8,강동구
201311,73.8,강동구
201312,73.8,강동구
201401,73.7,강동구
201402,73.8,강동구
201403,73.9,강동구
201404,74,강동구
201405,74,강동구
201406,73.9,강동구
201407,73.9,강동구
201408,74,강동구
201409,74.4,강동구
201410,74.7,강동구
201411,74.7,강동구
201412,74.6,강동구
201501,74.8,강동구
201502,75.2,강동구
201503,75.7,강동구
201504,76.3,강동구
201505,76.7,강동구
201506,77.1,강동구
201507,77.5,강동구
201508,78,강동구
201509,78.4,강동구
201510,78.7,강동구
201511,78.9,강동구
201512,79.1,강동구
201601,79.1,강동구
201602,79.2,강동구
201603,79.2,강동구
201604,79.2,강동구
201605,79.5,강동구
201606,79.9,강동구
201607,80.2,강동구
201608,80.6,강동구
201609,80.9,강동구
201610,81.5,강동구
201611,82.1,강동구
201612,82,강동구
201701,81.9,강동구
201702,81.9,강동구
201703,81.9,강동구
201704,81.9,강동구
201705,82.2,강동구
201706,83.5,강동구
201707,84.4,강동구
201708,85.4,강동구
201709,85.5,강동구
201710,86.1,강동구
201711,86.8,강동구
201712,87.3,강동구
201801,89,강동구
201802,90,강동구
201803,92,강동구
201804,92.8,강동구
201805,93,강동구
201806,93.5,강동구
201807,94,강동구
201808,94.9,강동구
201809,97.9,강동구
201810,99.7,강동구
201811,100,강동구
201812,100.1,강동구
201901,100,강동구
201902,99.8,강동구
201903,99.5,강동구
201904,99.2,강동구
201905,98.8,강동구
201906,98.6,강동구
201907,98.7,강동구
201908,99.1,강동구
200701,72.7,강북구
200702,73.6,강북구
200703,75,강북구
200704,75.5,강북구
200705,75.6,강북구
200706,75.9,강북구
200707,76.8,강북구
200708,77.3,강북구
200709,78.5,강북구
200710,79.1,강북구
200711,80.7,강북구
200712,82.1,강북구
200801,83,강북구
200802,84,강북구
200803,84.5,강북구
200804,87.8,강북구
200805,89.3,강북구
200806,90.4,강북구
200807,90.9,강북구
200808,91.1,강북구
200809,91.1,강북구
200810,91.1,강북구
200811,91,강북구
200812,89.4,강북구
200901,89.2,강북구
200902,88.7,강북구
200903,88.1,강북구
200904,88,강북구
200905,87.9,강북구
200906,87.8,강북구
200907,87.8,강북구
200908,88.2,강북구
200909,88.6,강북구
200910,88.7,강북구
200911,88.8,강북구
200912,88.8,강북구
201001,88.9,강북구
201002,89,강북구
201003,89.2,강북구
201004,88.9,강북구
201005,88.4,강북구
201006,87.9,강북구
201007,87.5,강북구
201008,87.5,강북구
201009,87.5,강북구
201010,87,강북구
201011,86.6,강북구
201012,86.5,강북구
201101,86.5,강북구
201102,86.6,강북구
201103,86.5,강북구
201104,86.5,강북구
201105,86.5,강북구
201106,86.5,강북구
201107,86.4,강북구
201108,86.2,강북구
201109,85.9,강북구
201110,85.9,강북구
201111,85.8,강북구
201112,85.7,강북구
201201,85.6,강북구
201202,85.5,강북구
201203,85.4,강북구
201204,84.8,강북구
201205,84.4,강북구
201206,84.3,강북구
201207,83.4,강북구
201208,83,강북구
201209,82.8,강북구
201210,82.2,강북구
201211,81.6,강북구
201212,81.2,강북구
201301,81,강북구
201302,80.3,강북구
201303,80.1,강북구
201304,79.9,강북구
201305,79.8,강북구
201306,79.7,강북구
201307,79.6,강북구
201308,79.5,강북구
201309,79.6,강북구
201310,79.6,강북구
201311,79.7,강북구
201312,79.6,강북구
201401,79.6,강북구
201402,79.9,강북구
201403,80.1,강북구
201404,80.2,강북구
201405,80.1,강북구
201406,80.1,강북구
201407,80.1,강북구
201408,80.1,강북구
201409,80.2,강북구
201410,80.3,강북구
201411,80.3,강북구
201412,80.3,강북구
201501,80.4,강북구
201502,80.5,강북구
201503,80.7,강북구
201504,81,강북구
201505,81.3,강북구
201506,81.6,강북구
201507,81.9,강북구
201508,82.3,강북구
201509,83,강북구
201510,83.5,강북구
201511,84.1,강북구
201512,84.3,강북구
201601,84.3,강북구
201602,84.5,강북구
201603,84.6,강북구
201604,84.7,강북구
201605,84.8,강북구
201606,85,강북구
201607,85.3,강북구
201608,85.5,강북구
201609,85.8,강북구
201610,86.3,강북구
201611,86.8,강북구
201612,86.9,강북구
201701,87.1,강북구
201702,87.1,강북구
201703,87.2,강북구
201704,87.2,강북구
201705,87.3,강북구
201706,87.6,강북구
201707,87.9,강북구
201708,88.6,강북구
201709,88.9,강북구
201710,89.2,강북구
201711,89.6,강북구
201712,89.8,강북구
201801,89.9,강북구
201802,90.3,강북구
201803,90.7,강북구
201804,91.1,강북구
201805,91.3,강북구
201806,91.7,강북구
201807,91.9,강북구
201808,92.3,강북구
201809,97.4,강북구
201810,99.5,강북구
201811,99.9,강북구
201812,99.9,강북구
201901,100,강북구
201902,100,강북구
201903,100,강북구
201904,99.9,강북구
201905,99.9,강북구
201906,99.9,강북구
201907,100,강북구
201908,100.2,강북구
200701,80.9,강서구
200702,81.1,강서구
200703,81.2,강서구
200704,81.5,강서구
200705,81.4,강서구
200706,81.6,강서구
200707,81.8,강서구
200708,81.9,강서구
200709,82.2,강서구
200710,82.2,강서구
200711,82.2,강서구
200712,82.2,강서구
200802,82.5,강서구
200803,83.3,강서구
200804,84.4,강서구
200805,85.5,강서구
200806,86.4,강서구
200807,86.8,강서구
200808,86.8,강서구
200809,87.1,강서구
200810,87.1,강서구
200811,86.7,강서구
200812,86.1,강서구
200801,82.3,강서구
200901,85.4,강서구
200902,85.2,강서구
200903,85.2,강서구
200904,85.2,강서구
200905,85.3,강서구
200906,85.6,강서구
200907,85.9,강서구
200908,86.1,강서구
200909,86.7,강서구
200910,87.1,강서구
200911,87.1,강서구
200912,87,강서구
201001,87,강서구
201002,87.1,강서구
201003,86.7,강서구
201004,86.6,강서구
201005,86.1,강서구
201006,85.7,강서구
201007,85,강서구
201008,84.6,강서구
201009,84.3,강서구
201010,84,강서구
201011,84,강서구
201012,84,강서구
201101,83.9,강서구
201102,83.9,강서구
201103,83.9,강서구
201104,83.9,강서구
201105,83.8,강서구
201106,83.6,강서구
201107,83.5,강서구
201108,83.2,강서구
201109,82.9,강서구
201110,82.8,강서구
201111,82.6,강서구
201112,82.5,강서구
201201,82.4,강서구
201202,82.3,강서구
201203,81.9,강서구
201204,81.5,강서구
201205,81.2,강서구
201206,80.7,강서구
201207,80.3,강서구
201208,80,강서구
201209,79.4,강서구
201210,78.8,강서구
201211,78.5,강서구
201212,78.1,강서구
201301,77.8,강서구
201302,77.6,강서구
201303,77.1,강서구
201304,76.8,강서구
201305,76.7,강서구
201306,76.5,강서구
201307,76.4,강서구
201308,76.2,강서구
201309,76.1,강서구
201310,76.3,강서구
201311,76.4,강서구
201312,76.4,강서구
201401,76.4,강서구
201402,76.5,강서구
201403,76.6,강서구
201404,76.5,강서구
201405,76.5,강서구
201406,76.2,강서구
201407,76.1,강서구
201408,75.8,강서구
201409,75.8,강서구
201410,75.9,강서구
201411,76,강서구
201412,76,강서구
201501,76,강서구
201502,76.2,강서구
201503,76.7,강서구
201504,77.3,강서구
201505,77.7,강서구
201506,78.3,강서구
201507,78.9,강서구
201508,79.4,강서구
201509,80,강서구
201510,80.6,강서구
201511,81.3,강서구
201512,81.6,강서구
201601,81.7,강서구
201602,81.8,강서구
201603,81.8,강서구
201604,82,강서구
201605,82.3,강서구
201606,82.7,강서구
201607,83.1,강서구
201608,83.5,강서구
201609,83.9,강서구
201610,84.5,강서구
201611,85,강서구
201612,85.1,강서구
201701,85.2,강서구
201702,85.3,강서구
201703,85.4,강서구
201704,85.5,강서구
201705,85.7,강서구
201706,86.5,강서구
201707,87.5,강서구
201708,88.5,강서구
201709,88.7,강서구
201710,88.8,강서구
201711,89.1,강서구
201712,89.3,강서구
201801,89.8,강서구
201802,90.1,강서구
201803,90.8,강서구
201804,91.4,강서구
201805,91.7,강서구
201806,92,강서구
201807,92.7,강서구
201808,94.1,강서구
201809,97.7,강서구
201810,99.6,강서구
201811,99.9,강서구
201812,100,강서구
201901,100,강서구
201902,100,강서구
201903,99.9,강서구
201904,99.8,강서구
201905,99.8,강서구
201906,99.7,강서구
201907,99.5,강서구
201908,99.5,강서구
200701,76.2,관악구
200702,76.8,관악구
200703,77,관악구
200704,77,관악구
200705,77,관악구
200706,77.1,관악구
200707,77.3,관악구
200708,77.7,관악구
200709,78.1,관악구
200710,78.4,관악구
200711,78.7,관악구
200712,78.8,관악구
200802,79.4,관악구
200803,79.8,관악구
200804,81.4,관악구
200805,82.1,관악구
200806,82.7,관악구
200807,82.9,관악구
200808,83,관악구
200809,83.1,관악구
200810,83.2,관악구
200811,83.2,관악구
200812,82.3,관악구
200801,79.1,관악구
200901,81.9,관악구
200902,81.8,관악구
200903,81.5,관악구
200904,81.2,관악구
200905,81.2,관악구
200906,81.4,관악구
200907,81.5,관악구
200908,81.6,관악구
200909,82.2,관악구
200910,82.5,관악구
200911,82.6,관악구
200912,82.5,관악구
201001,82.6,관악구
201002,82.8,관악구
201003,82.7,관악구
201004,82.5,관악구
201005,82.2,관악구
201006,81.9,관악구
201007,81.6,관악구
201008,81.4,관악구
201009,81.4,관악구
201010,81.4,관악구
201011,81.3,관악구
201012,81.2,관악구
201101,81.2,관악구
201102,81.4,관악구
201103,81.6,관악구
201104,81.7,관악구
201105,81.6,관악구
201106,81.6,관악구
201107,81.5,관악구
201108,81.5,관악구
201109,81.4,관악구
201110,81.4,관악구
201111,81.3,관악구
201112,81.2,관악구
201201,81.1,관악구
201202,81.1,관악구
201203,81,관악구
201204,80.7,관악구
201205,80.5,관악구
201206,80.4,관악구
201207,80.1,관악구
201208,79.9,관악구
201209,79.6,관악구
201210,78.8,관악구
201211,78.3,관악구
201212,77.9,관악구
201301,77.6,관악구
201302,77.6,관악구
201303,77.5,관악구
201304,77.3,관악구
201305,77.3,관악구
201306,77.3,관악구
201307,77.1,관악구
201308,77,관악구
201309,77,관악구
201310,77.1,관악구
201311,77.2,관악구
201312,77.2,관악구
201401,77.2,관악구
201402,77.3,관악구
201403,77.5,관악구
201404,77.6,관악구
201405,77.6,관악구
201406,77.5,관악구
201407,77.5,관악구
201408,77.5,관악구
201409,77.7,관악구
201410,77.8,관악구
201411,77.8,관악구
201412,77.7,관악구
201501,77.7,관악구
201502,77.8,관악구
201503,78.1,관악구
201504,78.4,관악구
201505,78.8,관악구
201506,79.1,관악구
201507,79.7,관악구
201508,80.1,관악구
201509,80.6,관악구
201510,80.9,관악구
201511,81.4,관악구
201512,81.6,관악구
201601,81.7,관악구
201602,81.9,관악구
201603,82,관악구
201604,82.1,관악구
201605,82.3,관악구
201606,82.6,관악구
201607,83,관악구
201608,83.5,관악구
201609,83.8,관악구
201610,84.2,관악구
201611,84.4,관악구
201612,84.5,관악구
201701,84.6,관악구
201702,84.6,관악구
201703,84.7,관악구
201704,84.7,관악구
201705,84.8,관악구
201706,85.3,관악구
201707,86,관악구
201708,87.2,관악구
201709,87.3,관악구
201710,87.6,관악구
201711,87.9,관악구
201712,88.1,관악구
201801,88.4,관악구
201802,88.8,관악구
201803,89.4,관악구
201804,90,관악구
201805,90.4,관악구
201806,91.2,관악구
201807,92.2,관악구
201808,94,관악구
201809,97.4,관악구
201810,99.5,관악구
201811,99.8,관악구
201812,100,관악구
201901,100,관악구
201902,100,관악구
201903,99.8,관악구
201904,99.7,관악구
201905,99.7,관악구
201906,99.6,관악구
201907,99.6,관악구
201908,99.8,관악구
200701,83,광진구
200702,83.1,광진구
200703,83.2,광진구
200704,83,광진구
200705,82.6,광진구
200706,82.4,광진구
200707,82.3,광진구
200708,82.3,광진구
200709,82.4,광진구
200710,82.3,광진구
200711,82.4,광진구
200712,82.3,광진구
200802,82.3,광진구
200803,82.6,광진구
200804,83,광진구
200805,83.3,광진구
200806,83.4,광진구
200807,83.4,광진구
200808,83.4,광진구
200809,83.4,광진구
200810,83.2,광진구
200811,82.4,광진구
200812,79.4,광진구
200801,82.3,광진구
200902,78.7,광진구
200903,78.7,광진구
200904,78.9,광진구
200905,78.7,광진구
200906,78.7,광진구
200907,79,광진구
200908,79.3,광진구
200909,79.9,광진구
200910,80,광진구
200911,80.5,광진구
200912,80.5,광진구
200901,78.9,광진구
201001,80.6,광진구
201002,80.8,광진구
201003,81,광진구
201004,81,광진구
201005,80.9,광진구
201006,80.8,광진구
201007,80.7,광진구
201008,80.5,광진구
201009,80.5,광진구
201010,80.4,광진구
201011,80,광진구
201012,80,광진구
201101,80.3,광진구
201102,80.7,광진구
201103,80.7,광진구
201104,80.7,광진구
201105,80.7,광진구
201106,80.7,광진구
201107,80.7,광진구
201108,80.7,광진구
201109,80.7,광진구
201110,80.7,광진구
201111,80.6,광진구
201112,80.6,광진구
201201,80.6,광진구
201202,80.5,광진구
201203,80.3,광진구
201204,80,광진구
201205,80,광진구
201206,79.8,광진구
201207,79.6,광진구
201208,79.5,광진구
201209,78.9,광진구
201210,78.5,광진구
201211,78.4,광진구
201212,78.1,광진구
201301,77.8,광진구
201302,77.7,광진구
201303,77.7,광진구
201304,77.6,광진구
201305,77.5,광진구
201306,77.4,광진구
201307,77.2,광진구
201308,77,광진구
201309,76.7,광진구
201310,76.7,광진구
201311,76.6,광진구
201312,76.6,광진구
201401,76.6,광진구
201402,76.6,광진구
201403,77,광진구
201404,77,광진구
201405,77,광진구
201406,76.8,광진구
201407,76.8,광진구
201408,76.8,광진구
201409,77,광진구
201410,77.3,광진구
201411,77.3,광진구
201412,77.4,광진구
201501,77.4,광진구
201502,77.5,광진구
201503,77.8,광진구
201504,78.1,광진구
201505,78.2,광진구
201506,78.4,광진구
201507,78.9,광진구
201508,79.3,광진구
201509,79.6,광진구
201510,79.8,광진구
201511,80,광진구
201512,80.2,광진구
201601,80.4,광진구
201602,80.6,광진구
201603,80.7,광진구
201604,80.7,광진구
201605,80.9,광진구
201606,81.1,광진구
201607,81.5,광진구
201608,82,광진구
201609,82.2,광진구
201610,82.4,광진구
201611,82.9,광진구
201612,83,광진구
201701,83,광진구
201702,83,광진구
201703,83,광진구
201704,83.1,광진구
201705,83.2,광진구
201706,84.5,광진구
201707,85,광진구
201708,86.1,광진구
201709,86.5,광진구
201710,87.2,광진구
201711,88.5,광진구
201712,89.3,광진구
201801,90.7,광진구
201802,92.1,광진구
201803,93.9,광진구
201804,94.6,광진구
201805,94.7,광진구
201806,94.7,광진구
201807,95,광진구
201808,95.4,광진구
201809,98.1,광진구
201810,99.7,광진구
201811,100,광진구
201812,100,광진구
201901,100,광진구
201902,100,광진구
201903,99.9,광진구
201904,99.8,광진구
201905,99.7,광진구
201906,99.7,광진구
201907,100.1,광진구
201908,100.6,광진구
200701,75,구로구
200702,75.4,구로구
200703,75.6,구로구
200704,76.1,구로구
200705,76.1,구로구
200706,76.2,구로구
200707,76.6,구로구
200708,76.8,구로구
200709,76.9,구로구
200710,77.2,구로구
200711,77.3,구로구
200712,77.3,구로구
200802,77.8,구로구
200803,78.6,구로구
200804,80,구로구
200805,80.9,구로구
200806,81.3,구로구
200807,81.7,구로구
200808,82,구로구
200809,82.2,구로구
200810,82.3,구로구
200811,82.1,구로구
200812,81.7,구로구
200801,77.7,구로구
200902,80.7,구로구
200903,80.3,구로구
200904,80.3,구로구
200905,80.2,구로구
200906,80.4,구로구
200907,80.7,구로구
200908,80.9,구로구
200909,81.2,구로구
200910,81.4,구로구
200911,81.5,구로구
200912,81.5,구로구
200901,81.2,구로구
201001,81.5,구로구
201002,81.6,구로구
201003,81.6,구로구
201004,81.6,구로구
201005,81.6,구로구
201006,81.4,구로구
201007,80.8,구로구
201008,80.7,구로구
201009,80.5,구로구
201010,80.3,구로구
201011,80.1,구로구
201012,80,구로구
201101,80.1,구로구
201102,80.3,구로구
201103,80.5,구로구
201104,80.5,구로구
201105,80.5,구로구
201106,80.4,구로구
201107,80.4,구로구
201108,80.3,구로구
201109,80.2,구로구
201110,80.1,구로구
201111,80.1,구로구
201112,79.9,구로구
201201,79.9,구로구
201202,79.9,구로구
201203,79.8,구로구
201204,79.6,구로구
201205,79.5,구로구
201206,79.4,구로구
201207,79.2,구로구
201208,79,구로구
201209,78.7,구로구
201210,78.4,구로구
201211,78.3,구로구
201212,78.2,구로구
201301,78.1,구로구
201302,77.9,구로구
201303,77.6,구로구
201304,77.5,구로구
201305,77.4,구로구
201306,77.2,구로구
201307,76.8,구로구
201308,76.7,구로구
201309,76.7,구로구
201310,76.8,구로구
